age,sex,province,n
15,Female,Manitoba,1
15,Female,Ontario,1
15,Female,Saskatchewan,1
15,Male,British Columbia,1
15,Male,Ontario,1
15,Male,Quebec,2
15,Female,British Columbia,1
15,Female,Ontario,2
15,Male,British Columbia,1
15,Male,Ontario,1
15,Male,Quebec,2
15,Male,Saskatchewan,2
15,Female,Alberta,1
15,Female,Newfoundland and Labrador,1
15,Female,Nova Scotia,1
15,Female,Ontario,5
15,Male,British Columbia,2
15,Male,Nova Scotia,1
15,Male,Saskatchewan,2
15,Female,Alberta,1
15,Female,British Columbia,2
15,Female,New Brunswick,1
15,Female,Nova Scotia,1
15,Female,Ontario,3
15,Female,Quebec,2
15,Male,Nova Scotia,2
15,Male,Ontario,4
15,Male,Quebec,2
15,Female,Manitoba,1
15,Female,Ontario,1
15,Male,Ontario,3
15,Male,Quebec,1
15,Male,Saskatchewan,1
15,Female,British Columbia,1
15,Female,Manitoba,2
15,Female,Nova Scotia,1
15,Female,Ontario,2
15,Female,Quebec,2
15,Male,Alberta,1
15,Male,British Columbia,1
15,Male,Manitoba,1
15,Male,New Brunswick,2
15,Male,Ontario,1
15,Male,Quebec,1
15,Female,Alberta,1
15,Female,Manitoba,1
15,Female,Ontario,1
15,Female,Quebec,2
15,Female,Saskatchewan,1
15,Male,New Brunswick,1
15,Female,Newfoundland and Labrador,1
15,Male,British Columbia,2
15,Male,Manitoba,1
15,Male,Ontario,2
15,Male,Prince Edward Island,1
15,Male,Quebec,2
15,Female,British Columbia,1
15,Female,Manitoba,1
15,Female,Newfoundland and Labrador,2
15,Female,Nova Scotia,1
15,Female,Ontario,4
15,Female,Prince Edward Island,1
15,Female,Quebec,1
15,Male,British Columbia,2
15,Male,Nova Scotia,1
15,Male,Ontario,4
15,Male,Prince Edward Island,1
15,Male,Quebec,1
15,Male,Saskatchewan,1
15,Female,Manitoba,1
15,Female,Quebec,1
15,Male,New Brunswick,2
15,Male,Nova Scotia,1
15,Male,Ontario,2
15,Male,Prince Edward Island,1
15,Male,Quebec,1
16,Female,Alberta,1
16,Female,British Columbia,1
16,Female,Ontario,2
16,Female,Quebec,3
16,Female,Saskatchewan,1
16,Male,British Columbia,1
16,Male,Newfoundland and Labrador,2
16,Male,Nova Scotia,1
16,Male,Ontario,2
16,Male,Prince Edward Island,1
16,Female,Quebec,1
16,Female,Saskatchewan,1
16,Male,British Columbia,1
16,Male,Manitoba,1
16,Male,Ontario,1
16,Male,Prince Edward Island,1
16,Male,Quebec,1
16,Female,Ontario,3
16,Female,Prince Edward Island,1
16,Female,Quebec,1
16,Male,Alberta,1
16,Male,British Columbia,2
16,Male,Newfoundland and Labrador,1
16,Male,Ontario,1
16,Male,Quebec,1
16,Female,Alberta,1
16,Female,British Columbia,1
16,Female,Manitoba,1
16,Female,New Brunswick,2
16,Female,Newfoundland and Labrador,1
16,Female,Nova Scotia,1
16,Female,Ontario,3
16,Female,Prince Edward Island,1
16,Female,Saskatchewan,1
16,Male,Alberta,1
16,Male,British Columbia,3
16,Male,Newfoundland and Labrador,1
